Company Name,Ticker,Filing Type,Filing Date,File Path
Apple,AAPL,4,2024-09-16,sec-edgar-filings/AAPL/4/0000320193-22-000113
Apple,AAPL,4,2022-10-23,sec-edgar-filings/AAPL/4/0000320193-22-000097
Apple,AAPL,4,2023-04-26,sec-edgar-filings/AAPL/4/0000320193-22-000101
Apple,AAPL,4,2023-06-04,sec-edgar-filings/AAPL/4/0000320193-22-000052
Apple,AAPL,4,2022-11-05,sec-edgar-filings/AAPL/4/0000320193-22-000087
Apple,AAPL,4,2024-09-05,sec-edgar-filings/AAPL/4/0000320193-24-000016
Apple,AAPL,4,2023-02-16,sec-edgar-filings/AAPL/4/0000320193-24-000073
Apple,AAPL,4,2024-04-09,sec-edgar-filings/AAPL/4/0000320193-23-000081
Apple,AAPL,4,2023-07-29,sec-edgar-filings/AAPL/4/0000320193-23-000051
Apple,AAPL,4,2024-03-25,sec-edgar-filings/AAPL/4/0000320193-23-000068
Apple,AAPL,4,2022-06-12,sec-edgar-filings/AAPL/4/0000320193-24-000048
Apple,AAPL,4,2025-01-22,sec-edgar-filings/AAPL/4/0000320193-24-000112
Apple,AAPL,4,2023-09-19,sec-edgar-filings/AAPL/4/0000320193-22-000049
Apple,AAPL,4,2025-03-05,sec-edgar-filings/AAPL/4/0000320193-23-000032
Apple,AAPL,4,2022-02-11,sec-edgar-filings/AAPL/4/0000320193-22-000038
Apple,AAPL,4,2024-06-01,sec-edgar-filings/AAPL/4/0000320193-23-000036
Apple,AAPL,4,2022-09-11,sec-edgar-filings/AAPL/4/0000320193-23-000091
Apple,AAPL,4,2024-12-02,sec-edgar-filings/AAPL/4/0000320193-23-000050
Apple,AAPL,4,2024-03-28,sec-edgar-filings/AAPL/4/0000320193-23-000099
Apple,AAPL,4,2022-07-26,sec-edgar-filings/AAPL/4/0000320193-23-000022
Apple,AAPL,4,2023-11-08,sec-edgar-filings/AAPL/4/0000320193-23-000035
Apple,AAPL,4,2022-05-28,sec-edgar-filings/AAPL/4/0000320193-24-000019
Apple,AAPL,4,2023-11-27,sec-edgar-filings/AAPL/4/0000320193-23-000096
Apple,AAPL,4,2023-09-06,sec-edgar-filings/AAPL/4/0000320193-23-000113
Apple,AAPL,4,2023-01-31,sec-edgar-filings/AAPL/4/0000320193-24-000075
Apple,AAPL,4,2023-06-28,sec-edgar-filings/AAPL/4/0000320193-22-000098
Apple,AAPL,4,2023-09-30,sec-edgar-filings/AAPL/4/0000320193-24-000110
Apple,AAPL,4,2023-11-02,sec-edgar-filings/AAPL/4/0000320193-24-000096
Apple,AAPL,4,2022-02-19,sec-edgar-filings/AAPL/4/0000320193-24-000100
Apple,AAPL,4,2022-02-18,sec-edgar-filings/AAPL/4/0000320193-24-000020
Apple,AAPL,4,2022-08-31,sec-edgar-filings/AAPL/4/0000320193-24-000051
Apple,AAPL,4,2022-07-03,sec-edgar-filings/AAPL/4/0000320193-24-000056
Apple,AAPL,4,2022-07-01,sec-edgar-filings/AAPL/4/0000320193-23-000109
Apple,AAPL,4,2024-08-10,sec-edgar-filings/AAPL/4/0000320193-23-000053
Apple,AAPL,4,2024-12-20,sec-edgar-filings/AAPL/4/0000320193-22-000018
Apple,AAPL,4,2023-11-14,sec-edgar-filings/AAPL/4/0000320193-22-000072
Apple,AAPL,4,2024-11-14,sec-edgar-filings/AAPL/4/0000320193-22-000016
Apple,AAPL,4,2025-03-02,sec-edgar-filings/AAPL/4/0000320193-24-000055
Apple,AAPL,4,2025-02-28,sec-edgar-filings/AAPL/4/0000320193-23-000018
Apple,AAPL,4,2025-03-01,sec-edgar-filings/AAPL/4/0000320193-23-000089
Apple,AAPL,4,2024-01-25,sec-edgar-filings/AAPL/4/0000320193-24-000132
Apple,AAPL,4,2024-03-22,sec-edgar-filings/AAPL/4/0000320193-22-000053
Apple,AAPL,4,2023-10-26,sec-edgar-filings/AAPL/4/0000320193-24-000126
Apple,AAPL,4,2024-06-09,sec-edgar-filings/AAPL/4/0000320193-22-000025
Apple,AAPL,4,2022-08-25,sec-edgar-filings/AAPL/4/0000320193-24-000086
Apple,AAPL,4,2022-01-04,sec-edgar-filings/AAPL/4/0000320193-23-000034
Apple,AAPL,4,2024-02-10,sec-edgar-filings/AAPL/4/0000320193-22-000074
Apple,AAPL,4,2022-01-01,sec-edgar-filings/AAPL/4/0000320193-22-000036
Apple,AAPL,4,2024-08-29,sec-edgar-filings/AAPL/4/0000320193-24-000099
Apple,AAPL,4,2024-03-26,sec-edgar-filings/AAPL/4/0000320193-22-000088
Apple,AAPL,4,2022-07-24,sec-edgar-filings/AAPL/4/0000320193-22-000090
Apple,AAPL,4,2022-01-03,sec-edgar-filings/AAPL/4/0000320193-24-000036
Apple,AAPL,4,2022-09-14,sec-edgar-filings/AAPL/4/0000320193-23-000017
Apple,AAPL,4,2024-01-28,sec-edgar-filings/AAPL/4/0000320193-22-000040
Apple,AAPL,4,2022-11-10,sec-edgar-filings/AAPL/4/0000320193-23-000037
Apple,AAPL,4,2024-11-23,sec-edgar-filings/AAPL/4/0000320193-22-000037
Apple,AAPL,4,2023-09-02,sec-edgar-filings/AAPL/4/0000320193-22-000102
Apple,AAPL,4,2023-05-30,sec-edgar-filings/AAPL/4/0000320193-24-000084
Apple,AAPL,4,2024-04-07,sec-edgar-filings/AAPL/4/0000320193-23-000033
Apple,AAPL,4,2022-04-26,sec-edgar-filings/AAPL/4/0000320193-24-000101
Apple,AAPL,4,2023-05-19,sec-edgar-filings/AAPL/4/0000320193-22-000020
Apple,AAPL,4,2023-03-28,sec-edgar-filings/AAPL/4/0000320193-24-000116
Apple,AAPL,4,2023-08-05,sec-edgar-filings/AAPL/4/0000320193-24-000038
Apple,AAPL,4,2024-12-15,sec-edgar-filings/AAPL/4/0000320193-23-000047
Apple,AAPL,4,2023-01-04,sec-edgar-filings/AAPL/4/0000320193-22-000076
Apple,AAPL,4,2023-08-23,sec-edgar-filings/AAPL/4/0000320193-24-000098
Apple,AAPL,4,2022-06-07,sec-edgar-filings/AAPL/4/0000320193-24-000037
Apple,AAPL,4,2023-01-20,sec-edgar-filings/AAPL/4/0000320193-22-000017
Apple,AAPL,4,2025-01-24,sec-edgar-filings/AAPL/4/0000320193-23-000038
Apple,AAPL,4,2023-07-15,sec-edgar-filings/AAPL/4/0000320193-22-000023
Apple,AAPL,4,2024-04-18,sec-edgar-filings/AAPL/4/0000320193-24-000015
Apple,AAPL,4,2022-07-31,sec-edgar-filings/AAPL/4/0000320193-24-000018
Apple,AAPL,4,2023-04-11,sec-edgar-filings/AAPL/4/0000320193-23-000055
Apple,AAPL,4,2024-05-08,sec-edgar-filings/AAPL/4/0000320193-24-000071
Apple,AAPL,4,2022-11-16,sec-edgar-filings/AAPL/4/0000320193-23-000079
Apple,AAPL,4,2022-12-14,sec-edgar-filings/AAPL/4/0000320193-24-000109
Apple,AAPL,4,2024-03-13,sec-edgar-filings/AAPL/4/0000320193-23-000066
Apple,AAPL,4,2023-09-29,sec-edgar-filings/AAPL/4/0000320193-24-000058
Apple,AAPL,4,2022-10-15,sec-edgar-filings/AAPL/4/0000320193-23-000090
Apple,AAPL,4,2023-01-25,sec-edgar-filings/AAPL/4/0000320193-23-000093
Apple,AAPL,4,2024-12-30,sec-edgar-filings/AAPL/4/0000320193-22-000096
Apple,AAPL,4,2024-02-14,sec-edgar-filings/AAPL/4/0000320193-22-000034
Apple,AAPL,4,2023-07-13,sec-edgar-filings/AAPL/4/0000320193-23-000020
Apple,AAPL,4,2024-02-05,sec-edgar-filings/AAPL/4/0000320193-24-000050
Apple,AAPL,4,2025-02-01,sec-edgar-filings/AAPL/4/0000320193-24-000033
Apple,AAPL,4,2024-10-30,sec-edgar-filings/AAPL/4/0000320193-22-000063
Apple,AAPL,4,2023-05-08,sec-edgar-filings/AAPL/4/0000320193-22-000089
Apple,AAPL,4,2024-06-07,sec-edgar-filings/AAPL/4/0000320193-24-000052
Apple,AAPL,4,2023-10-12,sec-edgar-filings/AAPL/4/0000320193-23-000048
Apple,AAPL,4,2023-12-08,sec-edgar-filings/AAPL/4/0000320193-24-000111
Apple,AAPL,4,2024-11-05,sec-edgar-filings/AAPL/4/0000320193-24-000049
Apple,AAPL,4,2023-01-04,sec-edgar-filings/AAPL/4/0000320193-22-000019
Apple,AAPL,4,2024-12-18,sec-edgar-filings/AAPL/4/0000320193-23-000057
Apple,AAPL,4,2024-04-18,sec-edgar-filings/AAPL/4/0000320193-24-000039
Apple,AAPL,4,2023-12-02,sec-edgar-filings/AAPL/4/0000320193-22-000061
Apple,AAPL,4,2022-07-05,sec-edgar-filings/AAPL/4/0000320193-23-000088
Apple,AAPL,4,2025-01-31,sec-edgar-filings/AAPL/4/0000320193-23-000019
Apple,AAPL,4,2023-10-02,sec-edgar-filings/AAPL/4/0000320193-24-000017
Apple,AAPL,4,2022-08-11,sec-edgar-filings/AAPL/4/0000320193-22-000095
Apple,AAPL,4,2023-09-09,sec-edgar-filings/AAPL/4/0000320193-23-000016
Apple,AAPL,4,2022-03-27,sec-edgar-filings/AAPL/4/0000320193-22-000048
Apple,AAPL,4,2024-03-28,sec-edgar-filings/AAPL/4/0000320193-23-000021
Apple,AAPL,4,2023-08-27,sec-edgar-filings/AAPL/4/0000320193-24-000129
Apple,AAPL,4,2025-03-24,sec-edgar-filings/AAPL/4/0000320193-24-000035
Apple,AAPL,4,2024-06-16,sec-edgar-filings/AAPL/4/0000320193-23-000092
Apple,AAPL,4,2024-08-05,sec-edgar-filings/AAPL/4/0000320193-22-000021
Apple,AAPL,4,2023-09-15,sec-edgar-filings/AAPL/4/0000320193-23-000031
Apple,AAPL,4,2025-01-27,sec-edgar-filings/AAPL/4/0000320193-23-000111
Apple,AAPL,4,2024-07-09,sec-edgar-filings/AAPL/4/0000320193-24-000108
Apple,AAPL,4,2022-03-17,sec-edgar-filings/AAPL/4/0000320193-23-000049
Apple,AAPL,4,2022-12-13,sec-edgar-filings/AAPL/4/0000320193-23-000040
Apple,AAPL,4,2024-12-05,sec-edgar-filings/AAPL/4/0000320193-23-000097
Apple,AAPL,4,2025-01-25,sec-edgar-filings/AAPL/4/0000320193-22-000085
Microsoft,MSFT,8-K,2022-07-05,sec-edgar-filings/MSFT/8-K/0001193125-23-254151
Microsoft,MSFT,8-K,2024-11-25,sec-edgar-filings/MSFT/8-K/0001193125-22-268356
Microsoft,MSFT,8-K,2025-02-10,sec-edgar-filings/MSFT/8-K/0001193125-23-291720
Microsoft,MSFT,8-K,2022-05-09,sec-edgar-filings/MSFT/8-K/0000950170-24-048268
Microsoft,MSFT,8-K,2023-09-11,sec-edgar-filings/MSFT/8-K/0000950170-24-008809
Microsoft,MSFT,8-K,2024-08-06,sec-edgar-filings/MSFT/8-K/0000950170-23-034400
Microsoft,MSFT,8-K,2022-12-02,sec-edgar-filings/MSFT/8-K/0001193125-23-115280
Microsoft,MSFT,8-K,2022-08-26,sec-edgar-filings/MSFT/8-K/0001193125-24-011295
Microsoft,MSFT,8-K,2022-08-14,sec-edgar-filings/MSFT/8-K/0001193125-22-165839
Microsoft,MSFT,8-K,2024-12-22,sec-edgar-filings/MSFT/8-K/0001193125-23-181341
Microsoft,MSFT,8-K,2023-08-30,sec-edgar-filings/MSFT/8-K/0000950170-24-118955
Microsoft,MSFT,8-K,2022-08-21,sec-edgar-filings/MSFT/8-K/0001193125-23-009934
Microsoft,MSFT,8-K,2024-03-15,sec-edgar-filings/MSFT/8-K/0001193125-22-202034
Microsoft,MSFT,8-K,2024-08-07,sec-edgar-filings/MSFT/8-K/0001193125-23-265616
Microsoft,MSFT,8-K,2024-11-13,sec-edgar-filings/MSFT/8-K/0000950170-23-054848
Microsoft,MSFT,8-K,2024-06-11,sec-edgar-filings/MSFT/8-K/0001193125-24-204403
Microsoft,MSFT,8-K,2023-07-18,sec-edgar-filings/MSFT/8-K/0001104659-23-109428
Microsoft,MSFT,8-K,2024-07-25,sec-edgar-filings/MSFT/8-K/0000950170-24-087835
Microsoft,MSFT,8-K,2024-09-06,sec-edgar-filings/MSFT/8-K/0000950170-24-132722
Microsoft,MSFT,8-K,2024-03-02,sec-edgar-filings/MSFT/8-K/0001193125-24-275524
Microsoft,MSFT,8-K,2022-03-02,sec-edgar-filings/MSFT/8-K/0001193125-22-306591
Microsoft,MSFT,8-K,2023-02-14,sec-edgar-filings/MSFT/8-K/0001193125-22-010667
Microsoft,MSFT,8-K,2023-06-16,sec-edgar-filings/MSFT/8-K/0001193125-23-014230
Microsoft,MSFT,8-K,2023-06-10,sec-edgar-filings/MSFT/8-K/0001193125-23-271376
Microsoft,MSFT,8-K,2023-12-13,sec-edgar-filings/MSFT/8-K/0001193125-22-120207
Microsoft,MSFT,8-K,2022-05-06,sec-edgar-filings/MSFT/8-K/0001193125-23-255762
Microsoft,MSFT,8-K,2024-05-23,sec-edgar-filings/MSFT/8-K/0001193125-22-017041
Microsoft,MSFT,10-Q,2023-10-20,sec-edgar-filings/MSFT/10-Q/0000950170-24-118967
Microsoft,MSFT,10-Q,2022-07-18,sec-edgar-filings/MSFT/10-Q/0000950170-24-008814
Microsoft,MSFT,10-Q,2023-01-22,sec-edgar-filings/MSFT/10-Q/0001564590-22-015675
Microsoft,MSFT,10-Q,2022-12-04,sec-edgar-filings/MSFT/10-Q/0000950170-23-014423
Microsoft,MSFT,10-Q,2022-11-18,sec-edgar-filings/MSFT/10-Q/0001564590-22-035087
Microsoft,MSFT,10-Q,2023-02-04,sec-edgar-filings/MSFT/10-Q/0001564590-22-002324
Microsoft,MSFT,10-Q,2023-11-09,sec-edgar-filings/MSFT/10-Q/0001564590-23-000733
Microsoft,MSFT,10-Q,2024-04-23,sec-edgar-filings/MSFT/10-Q/0000950170-23-054855
Microsoft,MSFT,10-Q,2023-03-16,sec-edgar-filings/MSFT/10-Q/0000950170-24-048288
Microsoft,MSFT,4,2022-07-05,sec-edgar-filings/MSFT/4/0001062993-24-019177
Microsoft,MSFT,4,2022-03-20,sec-edgar-filings/MSFT/4/0001062993-24-020138
Microsoft,MSFT,4,2025-01-10,sec-edgar-filings/MSFT/4/0001062993-23-017420
Microsoft,MSFT,4,2022-02-17,sec-edgar-filings/MSFT/4/0001062993-24-020619
Microsoft,MSFT,4,2022-11-14,sec-edgar-filings/MSFT/4/0001062993-24-016021
Microsoft,MSFT,4,2025-03-12,sec-edgar-filings/MSFT/4/0001062993-22-010460
Microsoft,MSFT,4,2022-11-04,sec-edgar-filings/MSFT/4/0001062993-23-018090
Microsoft,MSFT,4,2022-11-11,sec-edgar-filings/MSFT/4/0001062993-22-019041
Microsoft,MSFT,4,2022-02-20,sec-edgar-filings/MSFT/4/0001062993-24-006553
Microsoft,MSFT,4,2022-12-30,sec-edgar-filings/MSFT/4/0001062993-22-023819
Microsoft,MSFT,4,2025-02-19,sec-edgar-filings/MSFT/4/0001062993-23-013281
Microsoft,MSFT,4,2024-12-11,sec-edgar-filings/MSFT/4/0001062993-22-007518
Microsoft,MSFT,4,2022-07-20,sec-edgar-filings/MSFT/4/0001062993-22-002057
Microsoft,MSFT,4,2023-08-12,sec-edgar-filings/MSFT/4/0001062993-23-022102
Microsoft,MSFT,4,2024-09-07,sec-edgar-filings/MSFT/4/0001062993-22-019029
Microsoft,MSFT,4,2022-01-22,sec-edgar-filings/MSFT/4/0001062993-22-019046
Microsoft,MSFT,4,2022-11-05,sec-edgar-filings/MSFT/4/0001062993-22-002048
Microsoft,MSFT,4,2022-04-12,sec-edgar-filings/MSFT/4/0001062993-23-018084
Microsoft,MSFT,4,2024-05-15,sec-edgar-filings/MSFT/4/0001062993-23-011427
Microsoft,MSFT,4,2022-10-05,sec-edgar-filings/MSFT/4/0001062993-24-016765
Microsoft,MSFT,4,2024-10-21,sec-edgar-filings/MSFT/4/0001062993-23-018087
Microsoft,MSFT,4,2024-11-06,sec-edgar-filings/MSFT/4/0001062993-22-019013
Microsoft,MSFT,4,2022-10-14,sec-edgar-filings/MSFT/4/0001062993-23-010489
Microsoft,MSFT,4,2024-12-13,sec-edgar-filings/MSFT/4/0001062993-23-006653
Microsoft,MSFT,4,2024-09-14,sec-edgar-filings/MSFT/4/0001062993-23-022111
Microsoft,MSFT,4,2023-05-26,sec-edgar-filings/MSFT/4/0001062993-22-019440
Microsoft,MSFT,4,2022-11-22,sec-edgar-filings/MSFT/4/0001062993-23-001042
Microsoft,MSFT,4,2023-11-15,sec-edgar-filings/MSFT/4/0001062993-22-014684
Microsoft,MSFT,4,2025-01-27,sec-edgar-filings/MSFT/4/0001062993-24-016587
Microsoft,MSFT,4,2023-09-08,sec-edgar-filings/MSFT/4/0001062993-24-016591
Microsoft,MSFT,4,2023-01-15,sec-edgar-filings/MSFT/4/0001062993-22-006423
Microsoft,MSFT,4,2024-07-14,sec-edgar-filings/MSFT/4/0001062993-23-013285
Microsoft,MSFT,4,2023-01-15,sec-edgar-filings/MSFT/4/0001062993-24-013850
Microsoft,MSFT,4,2024-11-16,sec-edgar-filings/MSFT/4/0001062993-24-020624
Microsoft,MSFT,4,2022-06-08,sec-edgar-filings/MSFT/4/0001062993-24-016593
Microsoft,MSFT,4,2023-05-25,sec-edgar-filings/MSFT/4/0001062993-24-020617
Microsoft,MSFT,4,2022-06-29,sec-edgar-filings/MSFT/4/0001062993-22-023810
Microsoft,MSFT,4,2023-05-13,sec-edgar-filings/MSFT/4/0001062993-23-017416
Microsoft,MSFT,4,2023-02-27,sec-edgar-filings/MSFT/4/0001062993-22-007526
Microsoft,MSFT,4,2023-07-14,sec-edgar-filings/MSFT/4/0001062993-23-013292
Microsoft,MSFT,4,2024-05-04,sec-edgar-filings/MSFT/4/0001062993-22-019522
Microsoft,MSFT,4,2024-07-19,sec-edgar-filings/MSFT/4/0001062993-24-005290
Microsoft,MSFT,4,2025-02-17,sec-edgar-filings/MSFT/4/0001062993-23-020839
Microsoft,MSFT,4,2023-07-31,sec-edgar-filings/MSFT/4/0001062993-22-019009
Microsoft,MSFT,4,2025-02-13,sec-edgar-filings/MSFT/4/0001062993-23-022681
Microsoft,MSFT,4,2023-04-29,sec-edgar-filings/MSFT/4/0001062993-24-016766
Microsoft,MSFT,4,2024-11-14,sec-edgar-filings/MSFT/4/0001062993-22-002050
Microsoft,MSFT,4,2022-02-09,sec-edgar-filings/MSFT/4/0001062993-23-006660
Microsoft,MSFT,4,2024-07-27,sec-edgar-filings/MSFT/4/0001062993-22-023826
Microsoft,MSFT,4,2024-08-31,sec-edgar-filings/MSFT/4/0001062993-24-015672
Microsoft,MSFT,4,2023-01-19,sec-edgar-filings/MSFT/4/0001062993-24-020391
Microsoft,MSFT,4,2023-12-26,sec-edgar-filings/MSFT/4/0001062993-23-013291
Microsoft,MSFT,4,2023-08-12,sec-edgar-filings/MSFT/4/0001062993-22-014688
Microsoft,MSFT,4,2024-07-23,sec-edgar-filings/MSFT/4/0001062993-22-019790
Microsoft,MSFT,4,2023-11-16,sec-edgar-filings/MSFT/4/0001062993-24-016030
Microsoft,MSFT,4,2023-01-20,sec-edgar-filings/MSFT/4/0001062993-22-023815
Microsoft,MSFT,4,2023-10-21,sec-edgar-filings/MSFT/4/0001062993-24-019890
Microsoft,MSFT,4,2024-08-10,sec-edgar-filings/MSFT/4/0001062993-22-023651
Microsoft,MSFT,4,2024-07-24,sec-edgar-filings/MSFT/4/0001062993-22-020919
Microsoft,MSFT,4,2023-03-25,sec-edgar-filings/MSFT/4/0001062993-23-001839
Microsoft,MSFT,4,2022-06-28,sec-edgar-filings/MSFT/4/0001062993-24-016762
Microsoft,MSFT,4,2023-03-13,sec-edgar-filings/MSFT/4/0001062993-23-005633
Microsoft,MSFT,4,2024-12-22,sec-edgar-filings/MSFT/4/0001062993-23-018089
Microsoft,MSFT,4,2023-01-23,sec-edgar-filings/MSFT/4/0001062993-23-005620
Microsoft,MSFT,4,2023-05-04,sec-edgar-filings/MSFT/4/0001062993-23-021748
Microsoft,MSFT,4,2023-02-16,sec-edgar-filings/MSFT/4/0001062993-24-016029
Microsoft,MSFT,4,2024-01-02,sec-edgar-filings/MSFT/4/0001062993-24-001771
Microsoft,MSFT,4,2022-02-18,sec-edgar-filings/MSFT/4/0001062993-22-014005
Microsoft,MSFT,4,2023-03-07,sec-edgar-filings/MSFT/4/0001062993-22-019430
Microsoft,MSFT,4,2024-02-21,sec-edgar-filings/MSFT/4/0001062993-24-006557
Microsoft,MSFT,4,2024-08-24,sec-edgar-filings/MSFT/4/0001062993-24-001765
Microsoft,MSFT,4,2024-01-28,sec-edgar-filings/MSFT/4/0001062993-22-002044
Microsoft,MSFT,4,2024-11-28,sec-edgar-filings/MSFT/4/0001062993-24-016761
Microsoft,MSFT,4,2022-11-21,sec-edgar-filings/MSFT/4/0001062993-22-007525
Microsoft,MSFT,4,2024-02-05,sec-edgar-filings/MSFT/4/0001062993-22-023653
Microsoft,MSFT,4,2024-07-02,sec-edgar-filings/MSFT/4/0001062993-24-016594
Microsoft,MSFT,4,2022-10-12,sec-edgar-filings/MSFT/4/0001062993-23-013580
Microsoft,MSFT,4,2024-06-02,sec-edgar-filings/MSFT/4/0001062993-23-019483
Microsoft,MSFT,4,2022-01-01,sec-edgar-filings/MSFT/4/0001062993-23-005632
Microsoft,MSFT,4,2022-01-12,sec-edgar-filings/MSFT/4/0001062993-22-006436
Microsoft,MSFT,4,2024-10-20,sec-edgar-filings/MSFT/4/0001062993-24-019649
Microsoft,MSFT,4,2024-04-22,sec-edgar-filings/MSFT/4/0001062993-22-006438
Microsoft,MSFT,4,2025-02-22,sec-edgar-filings/MSFT/4/0001062993-23-022108
Microsoft,MSFT,4,2023-02-19,sec-edgar-filings/MSFT/4/0001062993-24-016343
Microsoft,MSFT,4,2024-06-29,sec-edgar-filings/MSFT/4/0001062993-24-005287
Microsoft,MSFT,4,2024-05-31,sec-edgar-filings/MSFT/4/0001062993-22-023830
Microsoft,MSFT,4,2023-10-05,sec-edgar-filings/MSFT/4/0001062993-23-017418
Microsoft,MSFT,4,2023-09-09,sec-edgar-filings/MSFT/4/0001062993-24-012233
Microsoft,MSFT,4,2022-03-03,sec-edgar-filings/MSFT/4/0001062993-24-016025
Microsoft,MSFT,4,2024-01-26,sec-edgar-filings/MSFT/4/0001062993-22-006440
Microsoft,MSFT,4,2025-02-04,sec-edgar-filings/MSFT/4/0001062993-24-012668
Microsoft,MSFT,4,2022-06-24,sec-edgar-filings/MSFT/4/0001062993-22-006442
Microsoft,MSFT,4,2024-06-03,sec-edgar-filings/MSFT/4/0001062993-22-019019
Microsoft,MSFT,4,2022-08-04,sec-edgar-filings/MSFT/4/0001062993-24-020622
Microsoft,MSFT,4,2023-02-02,sec-edgar-filings/MSFT/4/0001062993-24-016592
Microsoft,MSFT,4,2023-10-21,sec-edgar-filings/MSFT/4/0001062993-24-020388
Microsoft,MSFT,4,2022-10-04,sec-edgar-filings/MSFT/4/0001062993-24-001775
Microsoft,MSFT,4,2022-08-01,sec-edgar-filings/MSFT/4/0001062993-22-019025
Microsoft,MSFT,4,2022-12-12,sec-edgar-filings/MSFT/4/0001062993-23-022093
